,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
15617,Iraq,Wheat,2010,19872,216.0,1612.61,21.97
15628,Iraq,Wheat,2011,19552,216.0,1795.94,23.44
15629,Iraq,Wheat,2011,19552,216.0,1795.94,19.78
15640,Iraq,Wheat,2012,24181,216.0,1979.27,24.34
15641,Iraq,Wheat,2012,24181,216.0,1979.27,20.7
15652,Iraq,Wheat,2013,23068,216.0,2162.6,25.14
15653,Iraq,Wheat,2013,23068,216.0,2162.6,21.77
15655,Ireland,Wheat,1990,85307,1118.0,2014.0,9.59
15657,Ireland,Wheat,1991,78646,1118.0,2014.0,9.07
15659,Ireland,Wheat,1992,78808,1118.0,2014.0,9.07
15661,Ireland,Wheat,1993,68056,1118.0,2014.0,8.85
15663,Ireland,Wheat,1994,77193,1118.0,2014.0,9.13
15665,Ireland,Wheat,1995,82461,1118.0,2152.0,9.75
15667,Ireland,Wheat,1996,89965,1118.0,1577.0,8.85
15669,Ireland,Wheat,1997,77210,1118.0,2201.0,9.95
15671,Ireland,Wheat,1998,80310,1118.0,2257.0,9.71
15673,Ireland,Wheat,1999,87665,1118.0,1930.0,9.75
15675,Ireland,Wheat,2000,94538,1118.0,1942.21,9.43
15677,Ireland,Wheat,2001,90601,1118.0,2333.67,9.27
15679,Ireland,Wheat,2002,84440,1118.0,2614.27,9.75
15681,Ireland,Wheat,2004,99241,1118.0,2978.49,9.77
15683,Ireland,Wheat,2005,84317,1118.0,2624.89,9.91
15685,Ireland,Wheat,2006,91543,1118.0,2766.64,10.0
15687,Ireland,Wheat,2007,84626,1118.0,3083.02,10.11
15689,Ireland,Wheat,2008,89684,1118.0,2790.17,9.42
15691,Ireland,Wheat,2009,81669,1118.0,2268.1,9.47
15693,Ireland,Wheat,2010,86015,1118.0,2529.2,8.38
15695,Ireland,Wheat,2011,98641,1118.0,3664.3,9.76
15697,Ireland,Wheat,2012,72235,1118.0,2925.1,9.28
15699,Ireland,Wheat,2013,89983,1118.0,2950.8,9.28
15712,Italy,Wheat,1990,29243,832.0,100596.4,7.97
15713,Italy,Wheat,1990,29243,832.0,100596.4,12.83
15726,Italy,Wheat,1991,35094,832.0,88916.6,7.28
15727,Italy,Wheat,1991,35094,832.0,88916.6,12.05
15740,Italy,Wheat,1992,35506,832.0,88227.6,7.76
15741,Italy,Wheat,1992,35506,832.0,88227.6,12.89
15754,Italy,Wheat,1993,35533,832.0,89282.2,7.43
15755,Italy,Wheat,1993,35533,832.0,89282.2,12.71
15768,Italy,Wheat,1994,34796,832.0,81217.6,8.39
15769,Italy,Wheat,1994,34796,832.0,81217.6,13.53
15782,Italy,Wheat,1995,32013,832.0,84153.0,7.43
15783,Italy,Wheat,1995,32013,832.0,84153.0,12.47
15796,Italy,Wheat,1996,33170,832.0,74617.2,7.06
15797,Italy,Wheat,1996,33170,832.0,74617.2,12.28
15810,Italy,Wheat,1997,28563,832.0,84799.0,8.18
15811,Italy,Wheat,1997,28563,832.0,84799.0,13.13
15824,Italy,Wheat,1998,35818,832.0,84117.0,7.77
15825,Italy,Wheat,1998,35818,832.0,84117.0,12.96
15838,Italy,Wheat,1999,32434,832.0,81583.0,7.64
15839,Italy,Wheat,1999,32434,832.0,81583.0,12.95
15852,Italy,Wheat,2000,32133,832.0,79447.0,8.13
15853,Italy,Wheat,2000,32133,832.0,79447.0,13.42
15866,Italy,Wheat,2001,28013,832.0,75978.0,7.83
15867,Italy,Wheat,2001,28013,832.0,75978.0,13.23
15880,Italy,Wheat,2002,31247,832.0,94211.0,8.15
15881,Italy,Wheat,2002,31247,832.0,94211.0,13.14
15894,Italy,Wheat,2004,36698,832.0,83810.0,7.74
15895,Italy,Wheat,2004,36698,832.0,83810.0,12.75
15908,Italy,Wheat,2005,36352,832.0,84647.0,7.33
15909,Italy,Wheat,2005,36352,832.0,84647.0,12.16
15922,Italy,Wheat,2006,37295,832.0,74349.0,8.15
15923,Italy,Wheat,2006,37295,832.0,74349.0,12.87
15936,Italy,Wheat,2007,34137,832.0,80454.0,8.4
15937,Italy,Wheat,2007,34137,832.0,80454.0,13.32
15950,Italy,Wheat,2008,38689,832.0,79643.0,7.91
15951,Italy,Wheat,2008,38689,832.0,79643.0,13.01
15964,Italy,Wheat,2009,35859,832.0,74172.0,8.11
15965,Italy,Wheat,2009,35859,832.0,74172.0,13.28
15978,Italy,Wheat,2010,37421,832.0,71613.0,7.05
15979,Italy,Wheat,2010,37421,832.0,71613.0,12.63
15992,Italy,Wheat,2011,38335,832.0,70690.0,8.68
15993,Italy,Wheat,2011,38335,832.0,70690.0,13.46
16006,Italy,Wheat,2012,41293,832.0,61889.0,8.05
16007,Italy,Wheat,2012,41293,832.0,61889.0,13.45
16020,Italy,Wheat,2013,38441,832.0,55633.0,8.04
16021,Italy,Wheat,2013,38441,832.0,55633.0,13.6
16213,Japan,Wheat,1990,36540,1668.0,79821.18,16.4
16214,Japan,Wheat,1990,36540,1668.0,79821.18,14.14
16215,Japan,Wheat,1990,36540,1668.0,79821.18,16.46
16216,Japan,Wheat,1990,36540,1668.0,79821.18,16.12
16217,Japan,Wheat,1990,36540,1668.0,79821.18,16.17
16218,Japan,Wheat,1990,36540,1668.0,79821.18,14.14
16255,Japan,Wheat,1991,31797,1668.0,79821.18,15.6
16256,Japan,Wheat,1991,31797,1668.0,79821.18,13.32
16257,Japan,Wheat,1991,31797,1668.0,79821.18,15.43
16258,Japan,Wheat,1991,31797,1668.0,79821.18,15.38
16259,Japan,Wheat,1991,31797,1668.0,79821.18,15.49
16260,Japan,Wheat,1991,31797,1668.0,79821.18,13.32
16297,Japan,Wheat,1992,35371,1668.0,79821.18,15.63
16298,Japan,Wheat,1992,35371,1668.0,79821.18,12.94
16299,Japan,Wheat,1992,35371,1668.0,79821.18,15.68
16300,Japan,Wheat,1992,35371,1668.0,79821.18,15.21
16301,Japan,Wheat,1992,35371,1668.0,79821.18,15.26
16302,Japan,Wheat,1992,35371,1668.0,79821.18,12.94
16339,Japan,Wheat,1993,34739,1668.0,79821.18,14.93
16340,Japan,Wheat,1993,34739,1668.0,79821.18,12.49
16341,Japan,Wheat,1993,34739,1668.0,79821.18,14.99
16342,Japan,Wheat,1993,34739,1668.0,79821.18,14.68
16343,Japan,Wheat,1993,34739,1668.0,79821.18,14.72
16344,Japan,Wheat,1993,34739,1668.0,79821.18,12.49
16381,Japan,Wheat,1994,37182,1668.0,79821.18,16.33
16382,Japan,Wheat,1994,37182,1668.0,79821.18,13.78
16383,Japan,Wheat,1994,37182,1668.0,79821.18,16.41
16384,Japan,Wheat,1994,37182,1668.0,79821.18,16.06
16385,Japan,Wheat,1994,37182,1668.0,79821.18,16.07
16386,Japan,Wheat,1994,37182,1668.0,79821.18,13.78
16423,Japan,Wheat,1995,29319,1668.0,79821.18,15.25
16424,Japan,Wheat,1995,29319,1668.0,79821.18,12.98
16425,Japan,Wheat,1995,29319,1668.0,79821.18,15.32
16426,Japan,Wheat,1995,29319,1668.0,79821.18,14.83
16427,Japan,Wheat,1995,29319,1668.0,79821.18,14.97
16428,Japan,Wheat,1995,29319,1668.0,79821.18,12.98
16465,Japan,Wheat,1996,30164,1668.0,79821.18,15.2
16466,Japan,Wheat,1996,30164,1668.0,79821.18,12.61
16467,Japan,Wheat,1996,30164,1668.0,79821.18,15.32
16468,Japan,Wheat,1996,30164,1668.0,79821.18,14.79
16469,Japan,Wheat,1996,30164,1668.0,79821.18,14.8
16470,Japan,Wheat,1996,30164,1668.0,79821.18,12.61
16507,Japan,Wheat,1997,36387,1668.0,79821.18,15.76
16508,Japan,Wheat,1997,36387,1668.0,79821.18,13.43
16509,Japan,Wheat,1997,36387,1668.0,79821.18,15.89
16510,Japan,Wheat,1997,36387,1668.0,79821.18,15.37
16511,Japan,Wheat,1997,36387,1668.0,79821.18,15.39
16512,Japan,Wheat,1997,36387,1668.0,79821.18,13.43
16549,Japan,Wheat,1998,35111,1668.0,79821.18,16.72
16550,Japan,Wheat,1998,35111,1668.0,79821.18,13.74
16551,Japan,Wheat,1998,35111,1668.0,79821.18,16.74
16552,Japan,Wheat,1998,35111,1668.0,79821.18,16.39
16553,Japan,Wheat,1998,35111,1668.0,79821.18,16.45
16554,Japan,Wheat,1998,35111,1668.0,79821.18,13.74
16591,Japan,Wheat,1999,34544,1668.0,79821.18,15.93
16592,Japan,Wheat,1999,34544,1668.0,79821.18,13.78
16593,Japan,Wheat,1999,34544,1668.0,79821.18,15.93
16594,Japan,Wheat,1999,34544,1668.0,79821.18,15.66
16595,Japan,Wheat,1999,34544,1668.0,79821.18,15.79
16596,Japan,Wheat,1999,34544,1668.0,79821.18,13.78
16633,Japan,Wheat,2000,37607,1668.0,79821.18,15.92
16634,Japan,Wheat,2000,37607,1668.0,79821.18,13.5
16635,Japan,Wheat,2000,37607,1668.0,79821.18,15.95
16636,Japan,Wheat,2000,37607,1668.0,79821.18,15.58
16637,Japan,Wheat,2000,37607,1668.0,79821.18,15.67
16638,Japan,Wheat,2000,37607,1668.0,79821.18,13.5
16675,Japan,Wheat,2001,35546,1668.0,78735.45,15.86
16676,Japan,Wheat,2001,35546,1668.0,78735.45,13.13
16677,Japan,Wheat,2001,35546,1668.0,78735.45,15.97
16678,Japan,Wheat,2001,35546,1668.0,78735.45,15.4
16679,Japan,Wheat,2001,35546,1668.0,78735.45,15.47
16680,Japan,Wheat,2001,35546,1668.0,78735.45,13.13
16717,Japan,Wheat,2002,40010,1668.0,70262.54,16.09
16718,Japan,Wheat,2002,40010,1668.0,70262.54,13.42
16719,Japan,Wheat,2002,40010,1668.0,70262.54,16.0
16720,Japan,Wheat,2002,40010,1668.0,70262.54,15.71
16721,Japan,Wheat,2002,40010,1668.0,70262.54,15.73
16722,Japan,Wheat,2002,40010,1668.0,70262.54,13.42
16759,Japan,Wheat,2004,40466,1668.0,64688.88,16.56
16760,Japan,Wheat,2004,40466,1668.0,64688.88,14.05
16761,Japan,Wheat,2004,40466,1668.0,64688.88,16.54
16762,Japan,Wheat,2004,40466,1668.0,64688.88,16.19
16763,Japan,Wheat,2004,40466,1668.0,64688.88,16.33
16764,Japan,Wheat,2004,40466,1668.0,64688.88,14.05
16801,Japan,Wheat,2005,40970,1668.0,63829.77,15.75
16802,Japan,Wheat,2005,40970,1668.0,63829.77,12.99
16803,Japan,Wheat,2005,40970,1668.0,63829.77,15.75
16804,Japan,Wheat,2005,40970,1668.0,63829.77,15.36
16805,Japan,Wheat,2005,40970,1668.0,63829.77,15.36
16806,Japan,Wheat,2005,40970,1668.0,63829.77,12.99
16843,Japan,Wheat,2006,38351,1668.0,65248.26,15.87
16844,Japan,Wheat,2006,38351,1668.0,65248.26,13.28
16845,Japan,Wheat,2006,38351,1668.0,65248.26,15.92
16846,Japan,Wheat,2006,38351,1668.0,65248.26,15.43
16847,Japan,Wheat,2006,38351,1668.0,65248.26,15.45
16848,Japan,Wheat,2006,38351,1668.0,65248.26,13.28
16885,Japan,Wheat,2007,43400,1668.0,61164.07,16.53
16886,Japan,Wheat,2007,43400,1668.0,61164.07,13.68
16887,Japan,Wheat,2007,43400,1668.0,61164.07,16.55
16888,Japan,Wheat,2007,43400,1668.0,61164.07,16.03
16889,Japan,Wheat,2007,43400,1668.0,61164.07,15.94
16890,Japan,Wheat,2007,43400,1668.0,61164.07,13.68
16927,Japan,Wheat,2008,42203,1668.0,58750.0,15.96
16928,Japan,Wheat,2008,42203,1668.0,58750.0,13.31
16929,Japan,Wheat,2008,42203,1668.0,58750.0,15.98
16930,Japan,Wheat,2008,42203,1668.0,58750.0,15.55
16931,Japan,Wheat,2008,42203,1668.0,58750.0,15.57
16932,Japan,Wheat,2008,42203,1668.0,58750.0,13.31
16969,Japan,Wheat,2009,32367,1668.0,60970.8,15.93
16970,Japan,Wheat,2009,32367,1668.0,60970.8,13.55
16971,Japan,Wheat,2009,32367,1668.0,60970.8,16.02
16972,Japan,Wheat,2009,32367,1668.0,60970.8,15.61
16973,Japan,Wheat,2009,32367,1668.0,60970.8,15.67
16974,Japan,Wheat,2009,32367,1668.0,60970.8,13.55
17011,Japan,Wheat,2010,27612,1668.0,55576.0,16.12
17012,Japan,Wheat,2010,27612,1668.0,55576.0,13.82
17013,Japan,Wheat,2010,27612,1668.0,55576.0,16.01
17014,Japan,Wheat,2010,27612,1668.0,55576.0,15.8
17015,Japan,Wheat,2010,27612,1668.0,55576.0,15.87
17016,Japan,Wheat,2010,27612,1668.0,55576.0,13.82
17053,Japan,Wheat,2011,35286,1668.0,51796.3,15.71
17054,Japan,Wheat,2011,35286,1668.0,51796.3,13.32
17055,Japan,Wheat,2011,35286,1668.0,51796.3,15.62
17056,Japan,Wheat,2011,35286,1668.0,51796.3,15.38
17057,Japan,Wheat,2011,35286,1668.0,51796.3,15.43
17058,Japan,Wheat,2011,35286,1668.0,51796.3,13.32
17095,Japan,Wheat,2012,41004,1668.0,54716.4,15.53
17096,Japan,Wheat,2012,41004,1668.0,54716.4,13.11
17097,Japan,Wheat,2012,41004,1668.0,54716.4,15.54
17098,Japan,Wheat,2012,41004,1668.0,54716.4,15.14
17099,Japan,Wheat,2012,41004,1668.0,54716.4,15.21
17100,Japan,Wheat,2012,41004,1668.0,54716.4,13.11
17137,Japan,Wheat,2013,38616,1668.0,52794.3,16.54
17138,Japan,Wheat,2013,38616,1668.0,52794.3,13.91
17139,Japan,Wheat,2013,38616,1668.0,52794.3,16.3
17140,Japan,Wheat,2013,38616,1668.0,52794.3,16.0
17141,Japan,Wheat,2013,38616,1668.0,52794.3,16.02
17142,Japan,Wheat,2013,38616,1668.0,52794.3,13.91
17159,Kazakhstan,Wheat,1992,13324,250.0,17182.0,6.2
17160,Kazakhstan,Wheat,1992,13324,250.0,17182.0,2.78
17171,Kazakhstan,Wheat,1993,9178,250.0,17182.0,5.51
17172,Kazakhstan,Wheat,1993,9178,250.0,17182.0,1.63
17183,Kazakhstan,Wheat,1994,7490,250.0,17182.0,6.04
17184,Kazakhstan,Wheat,1994,7490,250.0,17182.0,3.12
17195,Kazakhstan,Wheat,1995,5748,250.0,13535.0,6.53
17196,Kazakhstan,Wheat,1995,5748,250.0,13535.0,4.33
17207,Kazakhstan,Wheat,1996,6835,250.0,13047.0,5.98
17208,Kazakhstan,Wheat,1996,6835,250.0,13047.0,1.61
17219,Kazakhstan,Wheat,1997,8449,250.0,8112.0,7.53
17220,Kazakhstan,Wheat,1997,8449,250.0,8112.0,4.52
17231,Kazakhstan,Wheat,1998,5200,250.0,6416.14,6.94
17232,Kazakhstan,Wheat,1998,5200,250.0,6416.14,3.25
17243,Kazakhstan,Wheat,1999,12868,250.0,4720.28,7.09
17244,Kazakhstan,Wheat,1999,12868,250.0,4720.28,3.73
17255,Kazakhstan,Wheat,2000,9028,250.0,3024.42,7.26
17256,Kazakhstan,Wheat,2000,9028,250.0,3024.42,3.23
17267,Kazakhstan,Wheat,2001,11803,250.0,3007.26,7.23
17268,Kazakhstan,Wheat,2001,11803,250.0,3007.26,3.85
17279,Kazakhstan,Wheat,2002,10895,250.0,3361.84,7.4
17280,Kazakhstan,Wheat,2002,10895,250.0,3361.84,4.77
17291,Kazakhstan,Wheat,2004,8432,250.0,3802.92,7.52
17292,Kazakhstan,Wheat,2004,8432,250.0,3802.92,4.18
17303,Kazakhstan,Wheat,2005,9480,250.0,3666.62,7.07
17304,Kazakhstan,Wheat,2005,9480,250.0,3666.62,4.0
17315,Kazakhstan,Wheat,2006,11348,250.0,3926.27,7.65
17316,Kazakhstan,Wheat,2006,11348,250.0,3926.27,3.88
17327,Kazakhstan,Wheat,2007,12983,250.0,5575.89,7.78
17328,Kazakhstan,Wheat,2007,12983,250.0,5575.89,4.14
17339,Kazakhstan,Wheat,2008,9715,250.0,7044.9,7.25
17340,Kazakhstan,Wheat,2008,9715,250.0,7044.9,4.19
17351,Kazakhstan,Wheat,2009,11941,250.0,8716.14,6.77
17352,Kazakhstan,Wheat,2009,11941,250.0,8716.14,3.03
17363,Kazakhstan,Wheat,2010,7336,250.0,6283.85,6.96
17364,Kazakhstan,Wheat,2010,7336,250.0,6283.85,2.95
17375,Kazakhstan,Wheat,2011,16609,250.0,10656.6,6.54
17376,Kazakhstan,Wheat,2011,16609,250.0,10656.6,2.67
17387,Kazakhstan,Wheat,2012,7929,250.0,8674.58,6.07
17388,Kazakhstan,Wheat,2012,7929,250.0,8674.58,2.5
17399,Kazakhstan,Wheat,2013,10762,250.0,8738.38,8.71
17400,Kazakhstan,Wheat,2013,10762,250.0,8738.38,5.49
17409,Kenya,Wheat,1990,16551,630.0,3469.0,15.94
17419,Kenya,Wheat,1991,18484,630.0,3469.0,16.26
17429,Kenya,Wheat,1992,19359,630.0,3469.0,16.34
17439,Kenya,Wheat,1993,13795,630.0,3469.0,16.36
17449,Kenya,Wheat,1994,22164,630.0,3469.0,16.58
17459,Kenya,Wheat,1995,21064,630.0,4607.0,16.52
17469,Kenya,Wheat,1996,20112,630.0,6344.0,16.44
17479,Kenya,Wheat,1997,16132,630.0,5172.0,16.77
17489,Kenya,Wheat,1998,18951,630.0,4114.0,16.53
17499,Kenya,Wheat,1999,16534,630.0,3056.0,16.7
17509,Kenya,Wheat,2000,15492,630.0,1998.0,16.73
17519,Kenya,Wheat,2001,19890,630.0,1578.0,16.1
17529,Kenya,Wheat,2002,21217,630.0,1578.0,16.61
17539,Kenya,Wheat,2004,24827,630.0,1578.0,16.92
17549,Kenya,Wheat,2005,23131,630.0,1578.0,17.28
17559,Kenya,Wheat,2006,21875,630.0,1578.0,16.92
17569,Kenya,Wheat,2007,30940,630.0,1578.0,16.6
17579,Kenya,Wheat,2008,25845,630.0,1578.0,16.66
17589,Kenya,Wheat,2009,16665,630.0,1578.0,17.3
17599,Kenya,Wheat,2010,31991,630.0,1578.0,16.82
17609,Kenya,Wheat,2011,20415,630.0,1578.0,16.9
17619,Kenya,Wheat,2012,29720,630.0,1578.0,16.84
17629,Kenya,Wheat,2013,27602,630.0,1578.0,16.91
17632,Latvia,Wheat,1992,25848,641.0,1005.0,6.89
17634,Latvia,Wheat,1993,20006,641.0,476.0,5.58
17636,Latvia,Wheat,1994,21078,641.0,294.0,5.87
17638,Latvia,Wheat,1995,22235,641.0,358.0,6.54
17640,Latvia,Wheat,1996,23961,641.0,361.0,4.9
17642,Latvia,Wheat,1997,25909,641.0,334.0,6.17
17644,Latvia,Wheat,1998,25533,641.0,369.0,5.95
17646,Latvia,Wheat,1999,24103,641.0,326.86,7.07
17648,Latvia,Wheat,2000,27034,641.0,284.72,7.47
17650,Latvia,Wheat,2001,27080,641.0,367.4,6.5
17652,Latvia,Wheat,2002,33844,641.0,335.31,6.83
17654,Latvia,Wheat,2004,29423,641.0,594.46,6.28
17656,Latvia,Wheat,2005,36099,641.0,723.54,6.3
17658,Latvia,Wheat,2006,27815,641.0,743.57,6.95
17660,Latvia,Wheat,2007,35944,641.0,1113.49,7.25
17662,Latvia,Wheat,2008,38566,641.0,1033.0,7.67
17664,Latvia,Wheat,2009,36276,641.0,881.2,6.51
17666,Latvia,Wheat,2010,32849,641.0,1027.5,5.67
17668,Latvia,Wheat,2011,30613,641.0,1070.5,7.25
17670,Latvia,Wheat,2012,43695,641.0,1396.96,5.96
17672,Latvia,Wheat,2013,38857,641.0,1250.0,7.25
17676,Lebanon,Wheat,1990,19704,661.0,1221.0,19.4
17680,Lebanon,Wheat,1991,22299,661.0,1221.0,19.31
17684,Lebanon,Wheat,1992,22807,661.0,1221.0,18.18
17688,Lebanon,Wheat,1993,22917,661.0,1221.0,19.14
17692,Lebanon,Wheat,1994,22244,661.0,1221.0,19.93
17696,Lebanon,Wheat,1995,24765,661.0,1221.0,19.35
17700,Lebanon,Wheat,1996,24726,661.0,1221.0,19.65
17704,Lebanon,Wheat,1997,16263,661.0,1816.0,18.99
17708,Lebanon,Wheat,1998,20667,661.0,1816.0,20.19
17712,Lebanon,Wheat,1999,18814,661.0,1816.0,20.25
17716,Lebanon,Wheat,2000,27025,661.0,1816.0,19.65
17720,Lebanon,Wheat,2001,31995,661.0,1816.0,20.29
17724,Lebanon,Wheat,2002,27356,661.0,1816.0,19.91
17728,Lebanon,Wheat,2004,29344,661.0,1816.0,19.72
17732,Lebanon,Wheat,2005,29030,661.0,1816.0,19.68
17736,Lebanon,Wheat,2006,28998,661.0,1816.0,19.59
17740,Lebanon,Wheat,2007,22008,661.0,1816.0,20.04
17744,Lebanon,Wheat,2008,28798,661.0,1816.0,20.24
17748,Lebanon,Wheat,2009,27990,661.0,1816.0,20.19
17752,Lebanon,Wheat,2010,27815,661.0,1816.0,21.26
17756,Lebanon,Wheat,2011,29667,661.0,1816.0,19.67
17760,Lebanon,Wheat,2012,31012,661.0,1816.0,20.19
17764,Lebanon,Wheat,2013,32122,661.0,1816.0,20.08
17768,Lesotho,Wheat,1990,8118,788.0,0.3,14.48
17772,Lesotho,Wheat,1991,1959,788.0,0.3,14.66
17776,Lesotho,Wheat,1992,8580,788.0,0.3,15.16
17780,Lesotho,Wheat,1993,7330,788.0,0.3,14.95
17784,Lesotho,Wheat,1994,4199,788.0,0.3,14.22
17788,Lesotho,Wheat,1995,6166,788.0,0.3,14.55
17792,Lesotho,Wheat,1996,14108,788.0,0.3,13.93
17796,Lesotho,Wheat,1997,16291,788.0,0.3,14.28
17800,Lesotho,Wheat,1998,14810,788.0,0.3,14.81
17804,Lesotho,Wheat,1999,7388,788.0,0.3,15.34
17808,Lesotho,Wheat,2000,6547,788.0,0.3,14.37
17812,Lesotho,Wheat,2001,20515,788.0,0.3,14.62
17816,Lesotho,Wheat,2002,7172,788.0,0.3,14.69
17820,Lesotho,Wheat,2004,6401,788.0,0.3,14.91
17824,Lesotho,Wheat,2005,7234,788.0,0.53,14.89
17828,Lesotho,Wheat,2006,2685,788.0,5.25,14.18
17832,Lesotho,Wheat,2007,4316,788.0,35.27,14.81
17836,Lesotho,Wheat,2008,2415,788.0,37.44,14.74
17840,Lesotho,Wheat,2009,3473,788.0,77.7,14.62
17844,Lesotho,Wheat,2010,14693,788.0,80.07,15.23
17848,Lesotho,Wheat,2011,9965,788.0,175.27,14.32
17852,Lesotho,Wheat,2012,8641,788.0,271.84,14.62
17856,Lesotho,Wheat,2013,12345,788.0,62.32,14.03
17861,Libya,Wheat,1990,12317,56.0,87.0,19.6
17862,Libya,Wheat,1990,12317,56.0,87.0,20.53
17867,Libya,Wheat,1991,12381,56.0,87.0,18.96
17868,Libya,Wheat,1991,12381,56.0,87.0,19.47
17873,Libya,Wheat,1992,10015,56.0,87.0,19.03
17874,Libya,Wheat,1992,10015,56.0,87.0,19.67
17879,Libya,Wheat,1993,8400,56.0,87.0,19.51
17880,Libya,Wheat,1993,8400,56.0,87.0,20.12
17885,Libya,Wheat,1994,7742,56.0,87.0,19.86
17886,Libya,Wheat,1994,7742,56.0,87.0,20.55
17891,Libya,Wheat,1995,7313,56.0,87.0,19.47
17892,Libya,Wheat,1995,7313,56.0,87.0,20.03
17897,Libya,Wheat,1996,7294,56.0,87.0,19.24
17898,Libya,Wheat,1996,7294,56.0,87.0,20.21
17903,Libya,Wheat,1997,10090,56.0,255.0,19.3
17904,Libya,Wheat,1997,10090,56.0,255.0,20.32
17909,Libya,Wheat,1998,8750,56.0,1262.38,19.75
17910,Libya,Wheat,1998,8750,56.0,1262.38,20.24
17915,Libya,Wheat,1999,7879,56.0,2269.75,20.27
17916,Libya,Wheat,1999,7879,56.0,2269.75,21.08
17921,Libya,Wheat,2000,8085,56.0,3277.13,19.59
17922,Libya,Wheat,2000,8085,56.0,3277.13,20.37
17927,Libya,Wheat,2001,7974,56.0,4284.5,20.09
17928,Libya,Wheat,2001,7974,56.0,4284.5,21.1
17933,Libya,Wheat,2002,7966,56.0,5291.88,19.96
17934,Libya,Wheat,2002,7966,56.0,5291.88,20.73
17939,Libya,Wheat,2004,7841,56.0,7306.63,19.76
17940,Libya,Wheat,2004,7841,56.0,7306.63,20.46
17945,Libya,Wheat,2005,7576,56.0,8314.0,19.48
17946,Libya,Wheat,2005,7576,56.0,8314.0,20.28
17951,Libya,Wheat,2006,7879,56.0,4847.0,19.48
17952,Libya,Wheat,2006,7879,56.0,4847.0,20.64
17957,Libya,Wheat,2007,7879,56.0,3170.0,19.87
17958,Libya,Wheat,2007,7879,56.0,3170.0,20.68
17963,Libya,Wheat,2008,7879,56.0,3824.0,20.17
17964,Libya,Wheat,2008,7879,56.0,3824.0,20.61
17969,Libya,Wheat,2009,7895,56.0,6046.0,19.93
17970,Libya,Wheat,2009,7895,56.0,6046.0,20.54
17975,Libya,Wheat,2010,7717,56.0,3548.0,20.51
17976,Libya,Wheat,2010,7717,56.0,3548.0,21.17
17981,Libya,Wheat,2011,7784,56.0,3548.0,19.44
17982,Libya,Wheat,2011,7784,56.0,3548.0,20.29
17987,Libya,Wheat,2012,7958,56.0,3548.0,20.01
17988,Libya,Wheat,2012,7958,56.0,3548.0,20.81
17993,Libya,Wheat,2013,7955,56.0,3548.0,19.93
17994,Libya,Wheat,2013,7955,56.0,3548.0,20.78
17997,Lithuania,Wheat,1992,29411,656.0,1380.0,7.04
18000,Lithuania,Wheat,1993,23718,656.0,936.0,5.79
18003,Lithuania,Wheat,1994,20348,656.0,713.0,6.3
18006,Lithuania,Wheat,1995,24455,656.0,737.0,6.68
18009,Lithuania,Wheat,1996,26926,656.0,979.0,5.09
18012,Lithuania,Wheat,1997,30016,656.0,928.0,6.29
18015,Lithuania,Wheat,1998,28671,656.0,812.0,6.27
18018,Lithuania,Wheat,1999,26098,656.0,695.0,7.31
18021,Lithuania,Wheat,2000,33413,656.0,688.06,7.69
18024,Lithuania,Wheat,2001,30559,656.0,726.09,6.75
18027,Lithuania,Wheat,2002,36335,656.0,792.6,7.26
18030,Lithuania,Wheat,2004,40276,656.0,1023.6,6.43
18033,Lithuania,Wheat,2005,37332,656.0,1048.5,6.5
18036,Lithuania,Wheat,2006,23554,656.0,1197.0,6.98
18039,Lithuania,Wheat,2007,39219,656.0,2722.82,7.44
18042,Lithuania,Wheat,2008,42689,656.0,2722.55,7.84
18045,Lithuania,Wheat,2009,42004,656.0,2748.8,6.7
18048,Lithuania,Wheat,2010,33045,656.0,1803.77,6.14
18051,Lithuania,Wheat,2011,33919,656.0,2062.34,7.32
18054,Lithuania,Wheat,2012,47829,656.0,2559.9,6.31
18057,Lithuania,Wheat,2013,43022,656.0,2515.69,7.42
18065,Madagascar,Wheat,1990,20000,1513.0,128.41,19.62
18073,Madagascar,Wheat,1991,22500,1513.0,131.0,19.79
18081,Madagascar,Wheat,1992,25000,1513.0,101.06,19.76
18089,Madagascar,Wheat,1993,26667,1513.0,109.41,19.95
18097,Madagascar,Wheat,1994,20000,1513.0,76.15,19.96
18105,Madagascar,Wheat,1995,20000,1513.0,73.08,19.96
18113,Madagascar,Wheat,1996,20000,1513.0,152.01,19.71
18121,Madagascar,Wheat,1997,25000,1513.0,139.89,19.97
18129,Madagascar,Wheat,1998,25000,1513.0,88.26,20.11
18137,Madagascar,Wheat,1999,23480,1513.0,49.52,19.82
18145,Madagascar,Wheat,2000,23442,1513.0,130.46,19.65
18153,Madagascar,Wheat,2001,23810,1513.0,87.59,20.12
18161,Madagascar,Wheat,2002,23462,1513.0,240.84,20.14
18169,Madagascar,Wheat,2004,23454,1513.0,68.01,19.87
18177,Madagascar,Wheat,2005,23440,1513.0,114.51,20.05
18185,Madagascar,Wheat,2006,23256,1513.0,109.39,20.09
18193,Madagascar,Wheat,2007,24444,1513.0,93.88,20.02
18201,Madagascar,Wheat,2008,23810,1513.0,112.11,19.79
18209,Madagascar,Wheat,2009,23859,1513.0,143.9,20.13
18217,Madagascar,Wheat,2010,23982,1513.0,241.89,20.31
